           x1          x2
 [1,] -1.6497800 -1.13855848
 [2,] -1.5397947 -1.88216305
 [3,] -1.4298094 -1.20492031
 [4,] -1.3198240 -0.76378657
 [5,] -1.2098387 -0.52805938
 [6,] -1.0998534 -0.44109308
 [7,] -0.9898680  0.56812003
 [8,] -0.8798827  0.01024691
 [9,] -0.7698974  1.06536067
[10,] -0.6599120  0.09427166
[11,] -0.5499267  0.62847029
[12,] -0.4399413  0.93157922
[13,] -0.3299560 -0.92593221
[14,] -0.2199707 -0.56209194
[15,] -0.1099853 -0.58683213
[16,]  0.0000000 -0.24220849
[17,]  0.1099853 -0.57719165
[18,]  0.2199707 -1.48188543
[19,]  0.3299560 -1.11209431
[20,]  0.4399413  0.94431814
[21,]  0.5499267  0.54062374
[22,]  0.6599120  0.18188720
[23,]  0.7698974  1.17403386
[24,]  0.8798827  1.95898817
[25,]  0.9898680  2.28849962
[26,]  1.0998534  1.09309109
[27,]  1.2098387  0.91013091
[28,]  1.3198240 -0.16127927
[29,]  1.4298094  0.40153770
[30,]  1.5397947 -0.60120506
[31,]  1.6497800 -0.58185788
